Countries and areas,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Burkina Faso,12.238333,1.561593,81,81,21,22,48,44,67,65,moderately low,low,very low,extremely low,extremely low,extremely low,36,59,21,22,0,0,62,55,37.93,high,extremely low,low
Burundi,3.373056,29.918886,52,50,9,6,36,31,67,62,moderate,moderately high,low,very low,extremely low,extremely low,79,97,7,40,0,0,0,0,39.01,extremely high,extremely low,extremely low
Cape Verde,16.5388,23.0418,19,19,6,7,14,13,29,24,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,19.49,very high,very low,moderate
Cambodia,12.565679,104.990963,48,44,9,9,12,14,0,0,high,very high,moderate,moderately low,very low,very low,0,0,50,0,8,10,0,0,22.46,very high,extremely low,extremely low
Cameroon,7.369722,12.354722,56,57,4,13,33,40,50,58,very high,very high,moderately high,moderate,low,low,30,57,24,12,0,0,88,82,35.39,very high,extremely low,very low
Canada,56.130366,106.346771,0,0,0,0,0,0,6,6,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,96,69,0,0,86,84,0,0,10.1,high,moderate,very low
Central African Republic,6.611111,20.939444,0,0,0,0,0,0,0,0,moderately high,moderately low,very low,extremely low,extremely low,extremely low,0,0,0,0,0,0,48,29,35.35,very high,extremely low,very low
Chad,15.454166,18.732207,85,87,17,35,55,70,71,85,moderately low,low,very low,extremely low,very low,extremely low,18,48,3,3,0,0,0,0,42.17,moderately high,extremely low,extremely low
Chile,35.675147,71.542969,8,8,1,2,5,6,5,5,ultra high,ultra high,ultra high,ultra high,extremely high,extremely high,94,90,70,75,68,28,0,0,12.43,high,high,low
China,35.86166,104.195397,0,0,0,0,0,0,0,0,ultra high,ultra high,ultra high,ultra high,high,high,82,85,0,0,80,79,100,100,10.9,high,moderately low,very low
Colombia,4.570868,74.297333,3,1,3,2,6,5,22,20,ultra high,ultra high,very high,extremely high,high,very high,79,64,55,48,50,35,99,99,14.88,very high,moderately low,moderately low
Comoros,11.6455,43.3333,71,70,18,18,20,18,52,48,very high,very high,moderate,moderate,low,moderately low,0,0,0,0,0,0,78,78,31.88,high,extremely low,very low
Republic of the Congo,0.228021,15.827659,71,70,15,16,0,0,0,0,very high,extremely high,moderately high,moderate,low,very low,38,72,17,6,0,0,85,79,32.86,very high,extremely low,moderately low
Cook Islands,21.236736,159.777671,3,0,2,2,4,6,30,27,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Costa Rica,9.748917,83.753428,4,4,3,3,3,1,7,5,ultra high,ultra high,high,very high,moderately high,moderately high,89,84,68,60,58,40,99,100,13.97,very high,moderately low,moderately low
Ivory Coast,7.539989,5.54708,78,78,2,8,41,48,52,64,moderately high,moderately high,moderately low,low,very low,very low,17,33,22,3,0,0,64,53,35.74,high,extremely low,very low
Croatia,45.1,15.2,5,5,0,0,3,1,16,11,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,67,78,69,0,0,9.0,high,moderate,low
Cuba,21.521757,77.781167,2,2,1,1,10,10,20,15,ultra high,ultra high,ultra high,ultra high,extremely high,extremely high,0,0,0,0,0,0,0,0,10.17,very high,low,extremely low
Cyprus,35.126413,33.429859,1,2,0,1,2,2,6,8,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,74,0,0,56,63,0,0,10.46,high,moderately high,low
Czech Republic,49.817492,15.472962,10,10,1,0,1,2,3,3,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,97,78,0,0,79,80,0,0,10.7,high,moderate,extremely low
North Korea,40.339852,127.510093,0,0,0,0,0,0,0,0,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,94,0,0,0,0,0,0,0,13.89,very high,very low,extremely low
Democratic Republic of the Congo,4.038333,21.758664,0,0,0,0,0,0,0,0,high,high,moderately high,moderately high,moderately low,low,0,0,0,0,0,0,0,0,41.18,very high,extremely low,very low
Denmark,56.26392,9.501785,2,2,1,0,0,1,11,9,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,97,80,0,0,84,85,0,0,10.6,high,moderately high,very low
Djibouti,11.825138,42.590275,85,88,32,35,48,48,66,67,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,21.47,moderately high,extremely low,moderately low
Dominica,15.414999,61.370976,21,7,4,3,3,1,19,17,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,12.0,very high,extremely low,extremely low
Dominican Republic,18.735693,70.162651,7,6,4,4,6,6,23,21,extremely high,ultra high,very high,extremely high,moderate,high,44,25,21,12,21,9,0,0,19.51,very high,moderate,very low
Ecuador,1.831239,78.183406,8,3,0,0,6,3,20,18,ultra high,ultra high,extremely high,ultra high,very high,very high,74,65,38,48,49,29,0,0,19.72,very high,moderately low,very low
Egypt,26.820553,30.802498,63,63,0,0,3,2,23,24,ultra high,ultra high,very high,extremely high,moderate,moderate,0,0,0,0,0,21,0,0,26.38,very high,low,moderately low
El Salvador,13.794185,88.89653,18,17,14,13,17,17,33,35,extremely high,extremely high,very high,very high,moderately low,moderately low,0,0,0,0,0,0,98,98,18.25,high,low,very low
Equatorial Guinea,1.650801,10.267895,57,55,56,55,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,33.24,moderate,extremely low,low
Eritrea,15.179384,39.782334,73,73,45,50,32,40,45,53,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,94,93,30.3,moderate,extremely low,very low
Estonia,58.595272,25.013607,12,12,2,2,2,0,1,2,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,89,90,0,0,10.9,high,moderate,very low
Eswatini,26.522503,31.465866,0,0,15,17,3,3,14,18,high,very high,moderate,moderately high,moderately low,moderately low,0,0,0,0,0,0,94,97,0.0,extremely low,extremely low,extremely low
Ethiopia,9.145,40.489673,62,64,11,18,45,49,73,75,moderate,moderate,very low,low,very low,very low,0,0,0,0,0,0,0,0,32.34,high,extremely low,extremely low
Fiji,17.713371,178.065032,0,1,1,1,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,21.28,very high,very low,very low
Finland,61.92411,25.748151,2,3,1,1,1,0,3,5,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,98,82,0,0,86,85,0,0,8.6,high,high,low
France,46.227638,2.213749,0,0,0,0,1,1,5,4,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,94,58,79,79,0,0,11.3,very high,moderate,low
Gabon,0.803689,11.609444,0,0,0,0,0,0,0,0,high,very high,moderately low,moderately low,very low,very low,0,0,0,0,0,0,88,91,31.61,ultra high,extremely low,high
The Gambia,13.443182,15.310139,42,36,19,10,0,0,0,0,high,moderately high,moderate,moderate,moderately low,low,5,0,0,0,0,0,0,0,38.54,high,extremely low,moderately low
Georgia,42.315407,43.356892,0,0,2,2,1,2,7,4,ultra high,ultra high,ultra high,ultra high,very high,extremely high,86,47,0,0,36,39,0,0,13.47,high,moderate,moderate
Germany,51.165691,10.451526,1,1,1,0,6,4,12,16,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,95,77,79,79,0,0,9.5,very high,moderately high,very low
Ghana,7.946527,1.023194,14,12,1,0,13,8,28,28,high,very high,moderate,moderate,very low,extremely low,0,0,0,0,0,0,93,92,29.41,very high,very low,very low
Greece,39.074208,21.824312,6,5,2,1,3,5,4,6,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,69,64,99,99,8.1,high,ultra high,moderately high
Grenada,12.1165,61.679,4,1,0,0,0,0,8,7,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,16.47,very high,very high,extremely low
Guatemala,15.783471,90.230759,16,16,11,10,30,35,57,61,very high,very high,moderately high,moderate,low,low,68,52,36,34,30,11,0,0,24.56,very high,very low,extremely low
Guinea,9.945587,9.696645,57,60,15,29,43,60,59,76,moderately high,moderately low,moderately low,very low,low,very low,0,0,0,0,0,0,70,43,36.36,high,extremely low,very low
Guinea0Bissau,11.803749,15.180413,0,0,0,0,0,0,0,0,low,low,very low,very low,very low,extremely low,0,0,0,0,0,0,0,0,35.13,extremely high,extremely low,extremely low
Guyana,4.860416,58.93018,0,0,0,0,0,0,0,0,ultra high,ultra high,very high,extremely high,moderate,high,0,0,0,0,0,0,0,0,19.97,high,extremely low,moderately low
Haiti,18.971187,72.285215,0,0,0,0,0,0,0,0,moderate,moderately high,moderately low,moderately low,very low,very low,0,0,0,0,0,0,0,0,24.35,very high,extremely low,moderate
Vatican City,41.902916,12.453389,0,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,0.0,extremely low,extremely low,extremely low
Honduras,15.199999,86.241905,24,22,11,14,44,31,58,54,extremely high,extremely high,moderate,moderately high,low,moderately low,70,57,31,32,30,15,95,98,21.6,high,very low,very low
Hungary,47.162494,19.503304,12,14,4,5,3,3,12,12,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,97,75,75,67,0,0,9.6,high,moderately low,very low
Iceland,64.963051,19.020835,4,3,0,1,1,0,15,11,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,74,79,0,0,12.0,high,moderately high,extremely low
India,20.593684,78.96288,0,0,3,1,18,12,47,48,ultra high,ultra high,extremely high,very high,moderate,moderately low,47,53,46,44,0,0,93,90,17.86,very high,low,very low
Indonesia,0.789275,113.921327,8,2,3,8,19,14,23,22,ultra high,ultra high,high,moderately high,moderately low,moderately low,0,18,0,0,30,28,100,100,18.07,very high,low,very low
Iran,32.427908,53.688046,50,49,0,0,3,6,25,27,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,66,33,0,0,0,34,0,0,18.78,very high,moderate,moderately low
Iraq,33.223191,43.679291,0,0,0,0,0,0,0,0,very high,very high,moderate,moderate,moderate,moderate,0,0,0,0,0,0,0,0,29.08,very high,very low,moderate
Republic of Ireland,53.41291,8.24389,2,2,0,0,0,0,2,1,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,98,84,0,0,88,84,0,0,12.5,high,moderately high,very low
Israel,31.046051,34.851612,1,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,91,0,0,0,69,66,0,0,20.8,very high,moderate,very low
Italy,41.87194,12.56738,6,7,3,3,2,2,6,5,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,98,69,0,0,77,62,100,100,7.3,very high,moderate,moderately low
Jamaica,18.109581,77.297508,8,6,0,0,19,17,25,22,ultra high,ultra high,ultra high,ultra high,very high,extremely high,0,0,0,0,0,0,0,0,16.1,high,very low,low
Japan,36.204824,138.252924,0,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,95,0,0,83,89,0,0,7.4,high,moderate,extremely low
Jordan,31.302848,36.786839,55,55,18,19,29,30,48,43,ultra high,ultra high,extremely high,extremely high,moderate,high,0,0,0,0,59,41,99,99,21.98,moderately high,low,moderate
Kazakhstan,48.019573,66.923684,22,23,10,9,0,0,0,0,ultra high,ultra high,ultra high,ultra high,ultra high,ultra high,0,0,98,80,36,51,100,100,21.77,very high,moderate,very low
Kenya,0.023559,37.906193,0,0,0,0,0,0,0,0,very high,extremely high,high,high,moderate,moderately low,53,42,0,0,0,0,88,88,28.75,very high,extremely low,extremely low
Kiribati,1.8368976,157.3768317,0,0,0,0,0,0,0,0,ultra high,ultra high,high,extremely high,very low,very low,0,0,0,0,0,0,0,0,27.89,high,extremely low,extremely low
Kuwait,29.31166,47.481766,21,16,4,1,9,4,20,17,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,12,0,0,0,18,99,100,13.94,high,moderately low,extremely low
Kyrgyzstan,41.20438,74.766098,11,10,0,0,2,3,30,26,ultra high,ultra high,ultra high,ultra high,extremely high,extremely high,39,0,36,35,0,0,100,100,27.1,very high,low,low
Laos,19.85627,102.495496,31,30,8,9,27,28,42,46,extremely high,extremely high,moderately high,moderately high,moderately low,moderately low,0,0,0,0,0,0,0,0,23.55,very high,very low,extremely low
Latvia,56.879635,24.603189,2,2,2,1,1,1,5,4,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,99,0,0,0,78,83,100,100,10.0,high,high,low
Lebanon,33.854721,35.862285,0,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,32,35,100,100,17.55,high,very low,low
Lesotho,29.609988,28.233608,58,57,3,2,21,13,38,29,high,ultra high,moderately low,moderately high,low,moderately low,13,0,0,0,0,0,0,0,26.81,extremely high,extremely low,very high
Liberia,6.428055,9.429499,21,21,22,21,17,26,20,31,moderately low,moderately low,low,low,very low,extremely low,0,0,0,0,0,0,0,0,33.04,moderately high,extremely low,extremely low
Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,18.83,very high,moderate,high
Liechtenstein,47.1410392,9.520935,1,2,3,2,1,7,10,22,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,9.9,very high,low,extremely low
Lithuania,55.169438,23.881275,3,3,0,0,0,0,4,2,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,97,81,76,74,0,0,10.0,very high,moderately high,low
Luxembourg,49.815273,6.129583,1,1,1,1,4,5,22,17,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,71,73,0,0,10.3,very high,very low,very low
Madagascar,18.766947,46.869107,43,38,0,0,31,29,63,64,moderately high,moderately high,low,low,very low,very low,13,0,4,5,0,0,82,81,32.66,ultra high,extremely low,extremely low
Malawi,13.254308,34.301525,0,0,0,0,19,18,62,76,moderate,moderately high,low,low,very low,very low,0,0,0,0,0,0,0,0,34.12,ultra high,extremely low,very low
Malaysia,4.210484,101.975766,1,1,0,0,15,12,41,32,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,54,59,97,97,16.75,very high,moderately low,very low
Maldives,3.202778,73.22068,8,5,3,1,0,0,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,14.2,high,low,low
Mali,17.570692,3.996166,53,57,38,44,49,56,71,79,moderate,moderate,moderately low,low,low,very low,0,0,0,0,0,0,58,43,41.54,moderately high,extremely low,low
Malta,35.937496,14.375416,0,5,0,0,2,1,10,7,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,73,0,0,0,64,62,99,100,9.2,very high,moderately low,very low
Marshall Islands,7.131474,171.184478,32,31,25,27,33,29,45,41,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,29.03,moderately high,very low,extremely low
