Countries and areas,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Poland,51.919438,19.145136,4,5,2,2,1,3,4,4,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,98,80,0,0,85,85,0,0,10.2,high,moderate,very low
Portugal,39.399872,8.224454,5,6,0,1,0,0,2,4,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,97,82,0,0,80,77,100,100,8.5,very high,moderate,low
Qatar,25.354826,51.183884,10,7,3,0,1,9,0,0,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,66,36,0,0,49,36,0,0,9.54,very high,very low,extremely low
South Korea,35.907757,127.766922,1,1,1,1,3,3,4,4,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,97,0,0,85,85,0,0,6.4,high,high,very low
Moldova,47.411631,28.369885,5,5,9,11,15,16,36,35,ultra high,ultra high,ultra high,ultra high,high,very high,0,0,0,0,57,50,0,0,10.1,high,low,very low
Romania,45.943161,24.96676,18,18,12,13,9,9,21,19,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,59,53,99,99,9.6,moderately high,moderately low,very low
Russia,61.52401,105.318756,9,10,1,0,2,1,3,3,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,99,89,78,78,100,100,11.5,very high,moderately high,very low
Rwanda,1.940278,29.873888,48,47,6,6,6,2,50,49,moderate,high,low,low,very low,very low,0,0,0,0,0,0,84,89,31.7,ultra high,extremely low,extremely low
Saint Kitts and Nevis,17.357822,62.782998,0,21,0,0,0,0,4,5,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,12.6,very high,high,extremely low
Saint Lucia,13.909444,60.978893,5,0,3,0,9,10,20,21,ultra high,ultra high,extremely high,ultra high,high,extremely high,0,0,0,0,0,0,0,0,12.0,very high,very low,high
